LocationDesc,ProvisionValue
Alabama,0.675
Alaska,2
American Samoa,6
Arizona,2
Arkansas,1.15
California,2.87
Colorado,0.84
Connecticut,4.35
Delaware,2.1
District of Columbia,4.94
Florida,1.339
Georgia,0.37
Guam,4
Hawaii,3.2
Idaho,0.57
Illinois,1.98
Indiana,0.995
Iowa,1.36
Kansas,1.29
Kentucky,1.1
Louisiana,1.08
Maine,2
Marshall Islands,1
Maryland,2
Massachusetts,3.51
Michigan,2
Minnesota,3.04
Mississippi,0.68
Missouri,0.17
Montana,1.7
Nebraska,0.64
Nevada,1.8
New Hampshire,1.78
New Jersey,2.7
New Mexico,1.66
New York,4.35
North Carolina,0.45
North Dakota,0.44
Northern Marianas,3.75
Ohio,1.6
Oklahoma,2.03
Oregon,1.33
Palau,5
Pennsylvania,2.6
Puerto Rico,5.1
Rhode Island,4.25
South Carolina,0.57
South Dakota,1.53
Tennessee,0.62
Texas,1.41
Utah,1.7
Vermont,3.08
Virgin Islands,1.1
Virginia,0.3
Washington,3.025
West Virginia,1.2
Wisconsin,2.52
Wyoming,0.6
