Rank,State,StateCD,Restaurants_Per_Capita
1,Alabama,AL,6.3
2,Nebraska,NE,5.4
3,West Virginia,WE,5.3
4,Oklahoma,OK,5.3
5,Tennessee,TE,5.1
6,Indiana,IN,5
7,District of Columbia,DI,5
8,Georgia,GE,4.9
9,Missouri,MI,4.9
10,South Carolina,SO,4.9
11,Kentucky,KE,4.8
12,Nevada,NE,4.7
13,Ohio,OH,4.7
14,Arkansas,AR,4.7
15,Kansas,KA,4.7
16,Iowa,IO,4.7
17,Arizona,AR,4.6
18,North Carolina,NO,4.5
19,Illinois,IL,4.5
20,Louisiana,LO,4.4
21,Texas,TE,4.3
22,New Mexico,NE,4.3
23,South Dakota,SO,4.3
24,Virginia,VI,4.3
25,Delaware,DE,4.1
26,Wyoming,WY,4.1
27,Colorado,CO,4
28,Michigan,MI,4
29,Wisconsin,WI,4
30,Maryland,MA,3.9
31,Idaho,ID,3.8
32,Montana,MO,3.8
33,Minnesota,MI,3.8
34,North Dakota,NO,3.6
35,Utah,UT,3.6
36,Oregon,OR,3.6
37,California,CA,3.6
38,Florida,FL,3.3
39,New Hampshire,NE,3.2
40,Pennsylvania,PE,3.2
41,Hawaii,HA,3.2
42,Washington,WA,3.1
43,Maine,MA,3.1
44,Massachusetts,MA,3.1
45,Alaska,AL,2.6
46,Rhode Island,RH,2.5
47,Connecticut,CO,2.4
48,Mississippi,MI,2.1
49,New York,NE,2.1
50,New Jersey,NE,2
51,Vermont,VE,1.9
